feature,importance
Fare,0.2686358716510524
Age,0.26300304891190207
Male,0.13945757442158274
Female,0.1384480516658016
Passenger Class,0.07898608432286963
Siblings/Spouses,0.04378216624712041
Parents/Children,0.03612273722593086
France,0.015121027624615315
England,0.010502348201714726
Ireland,0.0059410897274102615
05,Fare,0.27322670789042414
05,Age,0.261559478440763
05,Male,0.1554045728492138
05,Female,0.11839498958498358
05,Passenger Class,0.07568277464823858
05,Siblings / Spouse,0.04355170364511931
05,Parents / Children,0.0375028659686447
05,France,0.017217353542452428
05,England,0.011955555044676205
05,Ireland,0.005503998385484231
05,Fare,0.26066104869477763
05,Age,0.25914052398966153
05,Female,0.16658507159616887
05,Male,0.11797601844803482
05,Passenger Class,0.08101755139220987
05,Siblings / Spouse,0.0472298042758733
05,Parents / Children,0.03660838099900812
05,France,0.013041266390722527
05,England,0.011147542443173137
05,Ireland,0.006592791770370232
05,Fare,0.2618222313365109
05,Age,0.2616576918658822
05,Female,0.14744782745366156
05,Male,0.13436783869969016
05,Passenger Class,0.08152885626427583
05,Siblings / Spouse,0.04590977563536622
05,Parents / Children,0.0373508185312103
05,France,0.014927978396356466
05,England,0.009659773793646142
05,Ireland,0.005327208023400171
